freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.866e+02,4.829e+00,6.169e+00,2.976e+02
1.9,1.597e+02,5.220e+00,8.020e+00,1.730e+02
3.9,1.641e+02,3.633e+00,6.586e+00,1.743e+02
5.8,1.043e+03,4.199e+00,6.771e+00,1.054e+03
7.8,2.101e+03,5.501e+00,7.152e+00,2.113e+03
9.7,3.231e+03,7.196e+00,7.823e+00,3.246e+03
11.7,4.607e+03,1.012e+01,8.067e+00,4.625e+03
13.6,6.288e+03,1.535e+01,8.100e+00,6.311e+03
15.6,8.512e+03,1.707e+01,1.016e+01,8.540e+03
17.5,1.077e+04,9.049e+00,1.291e+01,1.079e+04
19.4,1.040e+04,1.383e+01,1.207e+01,1.042e+04
21.4,1.022e+04,2.735e+01,9.395e+00,1.026e+04
23.3,1.256e+04,3.400e+01,7.044e+00,1.260e+04
25.3,1.561e+04,3.808e+01,6.881e+00,1.566e+04
27.2,1.897e+04,4.619e+01,8.711e+00,1.902e+04
29.2,2.203e+04,6.338e+01,1.844e+01,2.211e+04
31.1,2.614e+04,7.494e+01,3.163e+01,2.625e+04
33.1,2.949e+04,5.700e+01,2.386e+01,2.957e+04
35.0,3.324e+04,3.465e+01,1.516e+01,3.329e+04
36.9,3.996e+04,3.064e+01,1.335e+01,4.001e+04
38.9,4.685e+04,3.612e+01,1.357e+01,4.690e+04
40.8,5.096e+04,3.644e+01,1.774e+01,5.102e+04
42.8,5.574e+04,4.854e+01,3.857e+01,5.582e+04
44.7,6.163e+04,7.247e+01,8.359e+01,6.178e+04
46.7,6.849e+04,7.621e+01,1.014e+02,6.867e+04
48.6,7.795e+04,9.131e+01,6.993e+01,7.811e+04
50.5,8.470e+04,1.373e+02,5.059e+01,8.489e+04
52.5,8.319e+04,2.029e+02,4.810e+01,8.344e+04
54.4,9.017e+04,3.062e+02,6.965e+01,9.055e+04
56.4,1.150e+05,4.575e+02,1.462e+02,1.156e+05
58.3,1.542e+05,6.214e+02,2.832e+02,1.551e+05
60.3,2.112e+05,8.657e+02,5.239e+02,2.125e+05
62.2,2.830e+05,1.317e+03,9.766e+02,2.853e+05
64.2,3.678e+05,2.074e+03,1.677e+03,3.716e+05
