freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.336e+02,1.001e+01,2.370e+02,4.807e+02
1.9,1.302e+02,8.305e+00,1.358e+02,2.743e+02
3.9,1.769e+02,3.572e+00,6.571e+00,1.870e+02
5.8,1.137e+03,3.723e+00,8.247e+00,1.149e+03
7.8,2.400e+03,3.609e+00,9.951e+00,2.414e+03
9.7,4.096e+03,4.109e+00,1.897e+01,4.119e+03
11.6,7.270e+03,6.580e+00,7.714e+01,7.354e+03
13.6,1.058e+04,1.564e+01,3.077e+02,1.091e+04
15.5,8.045e+03,2.316e+01,4.082e+02,8.476e+03
17.4,6.782e+03,2.289e+01,2.701e+02,7.075e+03
19.4,9.524e+03,2.531e+01,1.424e+02,9.691e+03
21.3,1.486e+04,1.913e+01,6.395e+01,1.495e+04
23.3,2.196e+04,1.631e+01,3.867e+01,2.202e+04
25.2,3.165e+04,1.359e+01,2.248e+01,3.169e+04
27.1,4.721e+04,1.938e+01,5.237e+01,4.728e+04
29.1,7.833e+04,1.694e+02,7.044e+02,7.920e+04
31.0,1.190e+05,1.120e+03,5.560e+03,1.257e+05
32.9,1.790e+05,2.536e+03,1.917e+04,2.007e+05
34.9,2.440e+05,2.609e+03,4.659e+04,2.932e+05
36.8,2.769e+05,2.444e+03,7.540e+04,3.547e+05
38.8,2.672e+05,3.139e+03,8.303e+04,3.534e+05
40.7,2.185e+05,4.418e+03,8.315e+04,3.061e+05
42.6,1.808e+05,6.952e+03,1.013e+05,2.891e+05
44.6,1.417e+05,1.125e+04,1.232e+05,2.762e+05
46.5,1.003e+05,1.814e+04,1.657e+05,2.841e+05
48.4,6.857e+04,2.035e+04,2.800e+05,3.689e+05
50.4,4.303e+04,1.583e+04,3.751e+05,4.339e+05
52.3,2.609e+04,1.308e+04,4.920e+05,5.312e+05
54.3,2.520e+04,1.206e+04,7.108e+05,7.480e+05
56.2,3.212e+04,1.044e+04,7.382e+05,7.808e+05
58.1,3.434e+04,8.843e+03,6.018e+05,6.449e+05
60.1,3.233e+04,6.601e+03,4.445e+05,4.834e+05
62.0,2.864e+04,4.380e+03,3.145e+05,3.475e+05
64.0,2.407e+04,2.798e+03,2.163e+05,2.432e+05
65.9,1.912e+04,1.803e+03,1.398e+05,1.607e+05
67.8,1.602e+04,1.476e+03,9.266e+04,1.101e+05
69.8,1.492e+04,1.374e+03,6.738e+04,8.367e+04
71.7,1.408e+04,9.282e+02,4.702e+04,6.202e+04
73.6,1.341e+04,5.515e+02,3.232e+04,4.629e+04
75.6,1.225e+04,6.269e+02,2.590e+04,3.877e+04
77.5,1.068e+04,1.774e+03,2.171e+04,3.416e+04
79.5,7.386e+03,5.157e+03,1.239e+04,2.493e+04
81.4,5.619e+03,9.702e+03,5.291e+03,2.061e+04
83.3,5.691e+03,1.353e+04,4.438e+03,2.365e+04
85.3,7.534e+03,1.444e+04,6.780e+03,2.875e+04
87.2,7.880e+03,1.144e+04,6.365e+03,2.568e+04
89.1,6.114e+03,7.593e+03,4.644e+03,1.835e+04
91.1,5.126e+03,4.830e+03,3.585e+03,1.354e+04
93.0,4.362e+03,2.932e+03,2.678e+03,9.972e+03
95.0,3.503e+03,1.412e+03,2.355e+03,7.271e+03
96.9,2.684e+03,5.030e+02,2.138e+03,5.325e+03
98.8,2.317e+03,5.414e+02,2.051e+03,4.909e+03
100.8,2.111e+03,6.546e+02,2.262e+03,5.027e+03
102.7,2.299e+03,6.387e+02,2.300e+03,5.238e+03
104.6,2.648e+03,5.534e+02,2.363e+03,5.564e+03
106.6,2.890e+03,6.608e+02,2.803e+03,6.355e+03
108.5,2.952e+03,8.499e+02,3.980e+03,7.782e+03
110.5,2.763e+03,9.999e+02,5.137e+03,8.900e+03
112.4,2.502e+03,1.004e+03,5.514e+03,9.020e+03
114.3,2.252e+03,8.809e+02,5.564e+03,8.697e+03
116.3,2.048e+03,6.948e+02,5.393e+03,8.135e+03
118.2,1.874e+03,5.287e+02,4.968e+03,7.371e+03
120.1,1.763e+03,3.747e+02,4.408e+03,6.546e+03
122.1,1.643e+03,2.354e+02,3.826e+03,5.704e+03
124.0,1.521e+03,1.339e+02,3.118e+03,4.773e+03
126.0,1.489e+03,8.291e+01,2.289e+03,3.861e+03
127.9,1.482e+03,6.311e+01,1.540e+03,3.086e+03
129.8,1.462e+03,5.528e+01,1.114e+03,2.631e+03
131.8,1.223e+03,4.755e+01,9.468e+02,2.218e+03
133.7,4.016e+02,3.380e+01,4.756e+02,9.110e+02
135.7,3.616e+01,3.452e+01,2.043e+02,2.749e+02
137.6,4.201e+01,4.127e+01,1.526e+02,2.359e+02
139.5,5.404e+01,4.362e+01,1.205e+02,2.182e+02
141.5,5.425e+01,3.940e+01,1.071e+02,2.007e+02
143.4,4.140e+01,3.024e+01,1.161e+02,1.877e+02
145.3,2.721e+01,2.068e+01,2.394e+02,2.873e+02
147.3,1.999e+01,1.604e+01,3.963e+02,4.324e+02
149.2,1.518e+01,1.790e+01,4.417e+02,4.748e+02
151.2,1.233e+01,2.082e+01,3.856e+02,4.188e+02
153.1,1.246e+01,2.032e+01,3.145e+02,3.473e+02
155.0,1.696e+01,2.007e+01,2.712e+02,3.082e+02
157.0,1.777e+01,2.064e+01,3.098e+02,3.482e+02
158.9,1.032e+01,2.037e+01,5.545e+02,5.852e+02
160.8,1.509e+01,2.108e+01,1.110e+03,1.146e+03
162.8,5.053e+01,1.926e+01,1.806e+03,1.876e+03
164.7,9.912e+01,1.873e+01,2.229e+03,2.347e+03
166.7,1.218e+02,1.831e+01,2.161e+03,2.301e+03
168.6,1.182e+02,1.857e+01,1.961e+03,2.098e+03
170.5,9.748e+01,1.883e+01,1.720e+03,1.836e+03
172.5,7.605e+01,1.872e+01,1.517e+03,1.612e+03
174.4,5.282e+01,1.891e+01,1.308e+03,1.379e+03
176.3,3.341e+01,1.911e+01,1.064e+03,1.116e+03
178.3,1.970e+01,1.789e+01,8.205e+02,8.581e+02
180.2,1.139e+01,1.620e+01,6.221e+02,6.496e+02
182.2,7.727e+00,1.479e+01,4.561e+02,4.786e+02
184.1,7.089e+00,1.223e+01,3.179e+02,3.373e+02
186.0,6.588e+00,9.944e+00,2.049e+02,2.214e+02
188.0,5.543e+00,8.567e+00,1.180e+02,1.321e+02
189.9,5.095e+00,8.311e+00,6.026e+01,7.367e+01
191.9,5.219e+00,7.741e+00,2.624e+01,3.920e+01
193.8,6.042e+00,5.603e+00,2.704e+01,3.868e+01
195.7,6.288e+00,4.134e+00,5.449e+01,6.491e+01
197.7,6.820e+00,3.571e+00,6.485e+01,7.524e+01
199.6,8.819e+00,3.846e+00,6.589e+01,7.855e+01
